value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,03/01/2025,UPI DR/UPI569301433907/NETFLIX/MERCHANT PAYMENT,DR648349204248,"9,178.01",-,"203,800.99"
04/01/2025,05/01/2025,RTGS CR/CLT503869098347/ALPHA TRADERS/INVOICE SETTLEMENT,RTGS791898489665,-,"45,901.59","249,702.58"
07/01/2025,08/01/2025,CASH DEP/CSH477760847523/BRANCH DEPOSIT,CASH545666099090,-,"39,976.94","289,679.52"
08/01/2025,10/01/2025,RTGS CR/CLT868708313304/ORBIT RETAIL/INVOICE SETTLEMENT,RTGS469049330247,-,"188,806.39","478,485.91"
10/01/2025,10/01/2025,UPI DR/UPI668108164685/FLIPKART/MOBILEAPP,UPI141940954739,811.49,-,"477,674.42"
11/01/2025,11/01/2025,NEFT DR/VEN316791771020/RAWMAT SUPPLY/VENDOR PAYMENT,NEFT294479714008,"73,304.69",-,"404,369.73"
14/01/2025,14/01/2025,UPI DR/UPI784682703614/SPOTIFY/MERCHANT PAYMENT,DR667742530813,"10,513.41",-,"393,856.32"
15/01/2025,15/01/2025,NEFT CR/CLT945456134630/SKYLOGIC LLP/BULK RECEIPT,CR184069380278,-,"126,440.81","520,297.13"
15/01/2025,16/01/2025,NEFT CR/CLT560133700817/NEXA INFRA/BULK RECEIPT,CR450356151403,-,"61,027.73","581,324.86"
15/01/2025,16/01/2025,NEFT DR/TRF530577911358/SAVINGS TRANSFER,NEFT305333740001,"1,740.05",-,"579,584.81"
16/01/2025,18/01/2025,CASH DEP/CSH936349115101/BRANCH DEPOSIT,CASH428108262461,-,"13,733.22","593,318.03"
18/01/2025,19/01/2025,NEFT CR/CLT899895411562/NEXA INFRA/BULK RECEIPT,CR533921688577,-,"134,488.36","727,806.39"
19/01/2025,19/01/2025,UPI CR/UPI255761917867/KARAN/P2P RECEIVE,UPI862736679989,-,"3,463.30","731,269.69"
19/01/2025,21/01/2025,CASH DEP/CSH804645551372/BRANCH DEPOSIT,CASH810861274253,-,"4,213.91","735,483.60"
20/01/2025,22/01/2025,UPI DR/UPI307185935435/ZOMATO/MERCHANT PAYMENT,DR785746161663,"10,398.77",-,"725,084.83"
21/01/2025,23/01/2025,CASH DEP/CSH106956184607/BRANCH DEPOSIT,CASH391777035888,-,"20,676.86","745,761.69"
22/01/2025,22/01/2025,UPI DR/UPI131713315217/NETFLIX/MERCHANT PAYMENT,DR599281578583,610.71,-,"745,150.98"
23/01/2025,25/01/2025,NEFT CR/CLT582653222086/ALPHA TRADERS/BULK RECEIPT,CR846251899239,-,"189,164.74","934,315.72"
24/01/2025,24/01/2025,UPI DR/P2P132152414723/ANJALI/P2P TRANSFER,UPI585352057873,215.33,-,"934,100.39"
26/01/2025,26/01/2025,NEFT DR/VEN516297693062/CITY LOGISTICS/VENDOR PAYMENT,NEFT946809833344,"21,739.39",-,"912,361.00"
26/01/2025,27/01/2025,NEFT DR/GST989566689555/GST PAYMENT/CBIC,TAX978273103777,"42,286.32",-,"870,074.68"
26/01/2025,27/01/2025,UPI CR/P2P668778724941/ANJALI/P2P RECEIVE,UPI454830388821,-,"3,555.40","873,630.08"
28/01/2025,28/01/2025,RTGS CR/CLT558544386449/ALPHA TRADERS/INVOICE SETTLEMENT,RTGS956500168232,-,"120,430.92","994,061.00"
31/01/2025,31/01/2025,CHRG DR/FEE425298089736/BANK CHARGE,CHG538692225933,375.65,-,"993,685.35"
01/02/2025,02/02/2025,RTGS CR/CLT452737472376/NEXA INFRA/INVOICE SETTLEMENT,RTGS411155436276,-,"94,430.29","1,088,115.64"
05/02/2025,06/02/2025,NEFT DR/VEN767629597945/CITY LOGISTICS/VENDOR PAYMENT,NEFT729142706418,"175,002.66",-,"913,112.98"
11/02/2025,11/02/2025,NEFT CR/CLT423065776906/SKYLOGIC LLP/BULK RECEIPT,CR625009377577,-,"160,819.93","1,073,932.91"
11/02/2025,13/02/2025,UPI DR/P2P553403197152/PRIYA/P2P TRANSFER,UPI875487589453,"11,229.69",-,"1,062,703.22"
12/02/2025,14/02/2025,NEFT CR/CLT628114805296/SKYLOGIC LLP/BULK RECEIPT,CR331803323795,-,"232,826.61","1,295,529.83"
12/02/2025,14/02/2025,UPI DR/BIZ292090615500/PACKAGING HUB/SUPPLIER PAYMENT,DR907858912158,"83,164.80",-,"1,212,365.03"
14/02/2025,15/02/2025,NEFT DR/VEN976987115881/PRINT HOUSE/VENDOR PAYMENT,NEFT311673825922,"130,765.36",-,"1,081,599.67"
14/02/2025,16/02/2025,NEFT DR/VEN824408850959/CITY LOGISTICS/VENDOR PAYMENT,NEFT965684588191,"126,997.80",-,"954,601.87"
15/02/2025,15/02/2025,UPI DR/BIZ794904017017/PACKAGING HUB/SUPPLIER PAYMENT,DR543372775035,"17,647.40",-,"936,954.47"
15/02/2025,15/02/2025,UPI DR/P2P718148976634/SNEHA/P2P TRANSFER,UPI191223493692,"11,899.13",-,"925,055.34"
16/02/2025,17/02/2025,NEFT CR/CLT794868354305/URBAN FOODS/BULK RECEIPT,CR475144874247,-,"257,327.80","1,182,383.14"
18/02/2025,19/02/2025,NEFT DR/VEN319163857341/PACKAGING HUB/VENDOR PAYMENT,NEFT650058196425,"92,429.57",-,"1,089,953.57"
18/02/2025,20/02/2025,NEFT CR/CLT636773741412/SKYLOGIC LLP/BULK RECEIPT,CR573697764575,-,"137,174.57","1,227,128.14"
19/02/2025,21/02/2025,NEFT CR/CLT698667941097/ORBIT RETAIL/BULK RECEIPT,CR502220706827,-,"146,448.60","1,373,576.74"
21/02/2025,21/02/2025,NEFT DR/GST647352746266/GST PAYMENT/CBIC,TAX105251819440,"16,693.10",-,"1,356,883.64"
22/02/2025,24/02/2025,RTGS CR/CLT661625691625/ORBIT RETAIL/INVOICE SETTLEMENT,RTGS626257665477,-,"208,688.23","1,565,571.87"
23/02/2025,23/02/2025,CHRG DR/FEE862116620221/BANK CHARGE,CHG886958652405,445.90,-,"1,565,125.97"
24/02/2025,24/02/2025,NEFT CR/CLT691041895687/NEXA INFRA/BULK RECEIPT,CR511008751906,-,"45,024.80","1,610,150.77"
25/02/2025,25/02/2025,NEFT CR/CLT286710466681/ORBIT RETAIL/BULK RECEIPT,CR842118527019,-,"74,255.71","1,684,406.48"
25/02/2025,26/02/2025,CASH DEP/CSH480599066344/BRANCH DEPOSIT,CASH777450945201,-,"26,019.25","1,710,425.73"
25/02/2025,26/02/2025,NEFT DR/VEN788742728792/CITY LOGISTICS/VENDOR PAYMENT,NEFT185923845509,"123,990.76",-,"1,586,434.97"
26/02/2025,28/02/2025,NEFT DR/VEN959205892526/WAREHOUSE RENT/VENDOR PAYMENT,NEFT429373993380,"67,351.13",-,"1,519,083.84"
26/02/2025,28/02/2025,NEFT DR/VEN335224827036/RAWMAT SUPPLY/VENDOR PAYMENT,NEFT598960607485,"158,231.00",-,"1,360,852.84"
27/02/2025,01/03/2025,RTGS CR/CLT462211354311/ALPHA TRADERS/INVOICE SETTLEMENT,RTGS239860583899,-,"78,205.87","1,439,058.71"
27/02/2025,28/02/2025,UPI DR/BIZ576031454626/CITY LOGISTICS/SUPPLIER PAYMENT,DR721492479964,"45,179.68",-,"1,393,879.03"
01/03/2025,02/03/2025,CASH DEP/CSH826143148827/BRANCH DEPOSIT,CASH311331343954,-,"39,071.19","1,432,950.22"
03/03/2025,04/03/2025,RTGS CR/CLT751991127262/ORBIT RETAIL/INVOICE SETTLEMENT,RTGS655627844394,-,"140,105.13","1,573,055.35"
03/03/2025,05/03/2025,NEFT CR/CLT592245101078/URBAN FOODS/BULK RECEIPT,CR190872636912,-,"155,385.93","1,728,441.28"
04/03/2025,04/03/2025,UPI CR/P2P161713094994/AMAN/P2P RECEIVE,UPI529240669476,-,"9,221.94","1,737,663.22"
05/03/2025,05/03/2025,NEFT CR/CLT475876277000/SKYLOGIC LLP/BULK RECEIPT,CR115227416757,-,"53,346.04","1,791,009.26"
05/03/2025,07/03/2025,RTGS CR/CLT585043197821/ALPHA TRADERS/INVOICE SETTLEMENT,RTGS499905646109,-,"144,642.60","1,935,651.86"
09/03/2025,10/03/2025,UPI DR/UPI148820362229/SPOTIFY/MERCHANT PAYMENT,DR281574893005,"8,692.41",-,"1,926,959.45"
10/03/2025,11/03/2025,UPI DR/P2P460973095696/AMAN/P2P TRANSFER,UPI523646880181,"13,084.07",-,"1,913,875.38"
10/03/2025,12/03/2025,NEFT CR/CLT109197788164/SKYLOGIC LLP/BULK RECEIPT,CR500274593916,-,"104,294.58","2,018,169.96"
10/03/2025,12/03/2025,NEFT CR/CLT413052237694/SKYLOGIC LLP/BULK RECEIPT,CR530093132182,-,"198,861.55","2,217,031.51"
10/03/2025,12/03/2025,NEFT DR/VEN801116912288/WAREHOUSE RENT/VENDOR PAYMENT,NEFT439957561496,"127,630.58",-,"2,089,400.93"
12/03/2025,13/03/2025,UPI CR/P2P471499038146/ANJALI/P2P RECEIVE,UPI363933431660,-,"25,763.35","2,115,164.28"
12/03/2025,14/03/2025,UPI DR/UPI385469938155/AMAZON/MERCHANT PAYMENT,DR932947945190,"8,328.07",-,"2,106,836.21"
