value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,02/01/2025,UPI DR/P2P216326211208/KARAN/P2P TRANSFER,UPI953948957663,"5,800.37",-,"253,809.63"
04/01/2025,04/01/2025,NEFT DR/TRF454680334378/ACCOUNT TRANSFER,NEFT787016288814,"5,789.43",-,"248,020.20"
04/01/2025,05/01/2025,CHRG DR/FEE184401583952/BANK CHARGE,CHG570021338624,206.77,-,"247,813.43"
04/01/2025,05/01/2025,UPI DR/UPI957792769224/BIGBASKET/MERCHANT PAYMENT,DR570312436741,"2,819.28",-,"244,994.15"
08/01/2025,08/01/2025,NEFT CR/INV835468135482/NEXA INFRA/PROJECT CREDIT,CR940210423992,-,"27,614.86","272,609.01"
09/01/2025,09/01/2025,NEFT DR/TRF746937630962/ACCOUNT TRANSFER,NEFT495563464583,"1,073.92",-,"271,535.09"
09/01/2025,11/01/2025,UPI DR/UPI355811652018/JIO/MERCHANT PAYMENT,DR790621818225,"11,991.69",-,"259,543.40"
10/01/2025,10/01/2025,UPI DR/UPI253871625407/BOOKMYSHOW/MOBILEAPP,UPI649486347411,"1,656.41",-,"257,886.99"
10/01/2025,12/01/2025,NEFT CR/INV203925053799/URBAN FOODS/PROJECT PAYMENT,NEFT695933399601,-,"14,538.80","272,425.79"
12/01/2025,13/01/2025,UPI DR/UPI188934262576/MEDPLUS/MERCHANT PAYMENT,DR935574348604,"7,484.74",-,"264,941.05"
12/01/2025,13/01/2025,UPI CR/P2P956010133309/NEHA/P2P RECEIVE,UPI989457290338,-,"10,457.86","275,398.91"
13/01/2025,14/01/2025,NEFT CR/INV973272871649/URBAN FOODS/PROJECT CREDIT,CR628151582264,-,"90,580.90","365,979.81"
13/01/2025,14/01/2025,UPI DR/UPI691394279825/AIRTEL/MERCHANT PAYMENT,DR454242513637,"8,626.29",-,"357,353.52"
15/01/2025,16/01/2025,UPI DR/UPI884762151395/UBER/MERCHANT PAYMENT,DR946495191833,"7,805.35",-,"349,548.17"
15/01/2025,16/01/2025,NEFT DR/TRF632544840473/SAVINGS TRANSFER,NEFT677210215493,"6,537.01",-,"343,011.16"
17/01/2025,17/01/2025,NEFT DR/TRF829118346003/ACCOUNT TRANSFER,NEFT111040424512,"20,585.51",-,"322,425.65"
18/01/2025,19/01/2025,NEFT DR/TRF406533909428/ACCOUNT TRANSFER,NEFT900778045927,"45,959.99",-,"276,465.66"
18/01/2025,20/01/2025,UPI DR/UPI341740882360/NETFLIX/MERCHANT PAYMENT,DR376153846926,"6,781.64",-,"269,684.02"
19/01/2025,19/01/2025,CHRG DR/FEE755388428727/BANK CHARGE,CHG750642448139,402.07,-,"269,281.95"
19/01/2025,19/01/2025,UPI DR/UPI649097352401/MEDPLUS/MERCHANT PAYMENT,DR613698826821,"11,154.58",-,"258,127.37"
19/01/2025,19/01/2025,UPI CR/UPI463384407164/SNEHA/P2P RECEIVE,UPI903268026444,-,"3,984.31","262,111.68"
20/01/2025,22/01/2025,NEFT CR/INV605378107370/ALPHA TRADERS/PROJECT CREDIT,CR357378654710,-,"81,760.05","343,871.73"
23/01/2025,24/01/2025,NEFT CR/INV579663068243/NEXA INFRA/PROJECT CREDIT,CR768089504663,-,"26,358.99","370,230.72"
23/01/2025,25/01/2025,UPI DR/UPI523029035228/AIRTEL/MERCHANT PAYMENT,DR272128383931,"3,013.57",-,"367,217.15"
24/01/2025,24/01/2025,UPI DR/P2P441076001399/RAHUL/P2P TRANSFER,UPI441002659056,"1,573.21",-,"365,643.94"
24/01/2025,26/01/2025,UPI DR/UPI326479191944/MEDPLUS/MERCHANT PAYMENT,DR314271056232,"6,490.88",-,"359,153.06"
25/01/2025,27/01/2025,UPI DR/P2P869561197390/ANJALI/P2P TRANSFER,UPI194558074259,"14,787.06",-,"344,366.00"
