value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,01/01/2025,NEFT CR/SAL793845532192/TECH MAHINDRA/MONTHLY SALARY,CR211293550096,-,"174,520.00","396,374.00"
01/01/2025,03/01/2025,CHRG DR/FEE819311850451/BANK CHARGE,CHG101091903124,173.11,-,"396,200.89"
02/01/2025,02/01/2025,UPI DR/UPI237356175721/SWIGGY/MERCHANT PAYMENT,DR121471834858,"6,350.51",-,"389,850.38"
02/01/2025,04/01/2025,NEFT CR/TRF327687872797/TRANSFER IN,CR848594783596,-,"4,262.38","394,112.76"
03/01/2025,05/01/2025,NEFT DR/TRF325854805883/ACCOUNT TRANSFER,NEFT800216319121,"49,700.46",-,"344,412.30"
03/01/2025,05/01/2025,UPI DR/P2P978297979181/SNEHA/P2P TRANSFER,UPI697771506076,"20,873.67",-,"323,538.63"
05/01/2025,05/01/2025,UPI DR/UPI473506627219/UBER/MERCHANT PAYMENT,DR328955801452,"11,232.64",-,"312,305.99"
05/01/2025,07/01/2025,UPI DR/UPI584316322995/AIRTEL/MERCHANT PAYMENT,DR965860527346,"9,995.10",-,"302,310.89"
07/01/2025,08/01/2025,CASH DEP/CSH422918340574/BRANCH DEPOSIT,CASH627000196151,-,"6,101.63","308,412.52"
09/01/2025,09/01/2025,NEFT CR/TRF945744416723/TRANSFER IN,CR681338783079,-,"14,136.73","322,549.25"
10/01/2025,10/01/2025,UPI DR/UPI144314628651/DMART/MOBILEAPP,UPI393386488117,607.59,-,"321,941.66"
13/01/2025,15/01/2025,NEFT CR/TRF583482973327/TRANSFER IN,CR503552966684,-,"17,953.19","339,894.85"
15/01/2025,16/01/2025,UPI DR/UPI606694129840/AMAZON/MERCHANT PAYMENT,DR768767806304,387.25,-,"339,507.60"
15/01/2025,16/01/2025,NEFT DR/TRF831995169888/SAVINGS TRANSFER,NEFT535478898754,"8,113.16",-,"331,394.44"
15/01/2025,16/01/2025,UPI CR/P2P513290565716/AMAN/P2P RECEIVE,UPI273843763393,-,"19,140.50","350,534.94"
19/01/2025,19/01/2025,UPI CR/UPI850077653526/ANJALI/P2P RECEIVE,UPI531650183785,-,"3,525.51","354,060.45"
19/01/2025,21/01/2025,UPI DR/UPI252495860449/AIRTEL/MERCHANT PAYMENT,DR440039537866,"2,481.71",-,"351,578.74"
20/01/2025,20/01/2025,UPI DR/P2P973044042718/ANJALI/P2P TRANSFER,UPI927390365754,"12,587.17",-,"338,991.57"
20/01/2025,21/01/2025,UPI CR/P2P337111706232/RAHUL/P2P RECEIVE,UPI142136281655,-,"11,751.41","350,742.98"
22/01/2025,22/01/2025,CASH DEP/CSH287582520544/BRANCH DEPOSIT,CASH528081652341,-,"33,230.68","383,973.66"
24/01/2025,24/01/2025,UPI DR/P2P633351979697/MEERA/P2P TRANSFER,UPI899492947731,863.06,-,"383,110.60"
24/01/2025,25/01/2025,CASH DEP/CSH879342985478/BRANCH DEPOSIT,CASH317152378465,-,"15,859.12","398,969.72"
25/01/2025,25/01/2025,UPI DR/P2P832223277787/AMAN/P2P TRANSFER,UPI698050409617,"7,799.08",-,"391,170.64"
