value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,01/01/2025,NEFT CR/SCH677248207632/SCHOLARSHIP CREDIT,CR552653137323,-,"2,387.34","10,804.34"
01/01/2025,02/01/2025,UPI DR/UPI573002503021/SWIGGY/MERCHANT PAYMENT,DR748972156154,285.31,-,"10,519.03"
02/01/2025,03/01/2025,CASH DEP/CSH775783345530/BRANCH DEPOSIT,CASH561573151812,-,"1,109.34","11,628.37"
02/01/2025,03/01/2025,IMPS CR/PKT723482680206/FAMILY SUPPORT/NEHA,IMPS203100939171,-,"7,140.55","18,768.92"
04/01/2025,04/01/2025,UPI DR/UPI509108219730/JIO/MERCHANT PAYMENT,DR444940275841,975.80,-,"17,793.12"
07/01/2025,09/01/2025,UPI DR/P2P105025440984/MEERA/P2P TRANSFER,UPI375918337371,"4,618.39",-,"13,174.73"
08/01/2025,10/01/2025,CASH DEP/CSH445673501227/BRANCH DEPOSIT,CASH742058175943,-,"4,790.27","17,965.00"
10/01/2025,10/01/2025,UPI DR/UPI444564905410/BOOKMYSHOW/MOBILEAPP,UPI970107375133,"1,001.63",-,"16,963.37"
10/01/2025,12/01/2025,UPI DR/P2P283458906477/ANJALI/P2P TRANSFER,UPI526625034465,"2,980.79",-,"13,982.58"
15/01/2025,16/01/2025,NEFT DR/TRF436671516451/SAVINGS TRANSFER,NEFT103687437305,"12,803.13",-,"1,179.45"
15/01/2025,17/01/2025,UPI DR/UPI790602891984/BOOKMYSHOW/MERCHANT PAYMENT,DR813354165050,"1,169.45",-,10.00
19/01/2025,19/01/2025,UPI CR/UPI289859193201/ROHAN/P2P RECEIVE,UPI797608294659,-,"5,925.04","5,935.04"
19/01/2025,20/01/2025,UPI DR/P2P770865827791/PRIYA/P2P TRANSFER,UPI182509551995,"4,588.07",-,"1,346.97"
21/01/2025,22/01/2025,UPI DR/UPI278016348632/OLA/MERCHANT PAYMENT,DR387681341479,"1,336.97",-,10.00
21/01/2025,23/01/2025,CASH DEP/CSH982248920185/BRANCH DEPOSIT,CASH129287361810,-,"3,083.47","3,093.47"
24/01/2025,24/01/2025,NEFT CR/SCH873490049758/SCHOLARSHIP CREDIT,CR547630056534,-,"11,165.88","14,259.35"
24/01/2025,24/01/2025,UPI DR/P2P635426947639/MEERA/P2P TRANSFER,UPI422849825904,"2,663.05",-,"11,596.30"
26/01/2025,27/01/2025,UPI DR/UPI835250085593/JIO/MERCHANT PAYMENT,DR650652915511,"1,536.71",-,"10,059.59"
27/01/2025,29/01/2025,UPI DR/UPI225704557564/OLA/MERCHANT PAYMENT,DR387929845871,448.35,-,"9,611.24"
29/01/2025,29/01/2025,CHRG DR/FEE184806205252/BANK CHARGE,CHG302402544614,329.73,-,"9,281.51"
31/01/2025,31/01/2025,UPI CR/P2P710133194304/VIKAS/P2P RECEIVE,UPI730170309983,-,"1,184.59","10,466.10"
02/02/2025,04/02/2025,UPI CR/P2P617093703582/ANJALI/P2P RECEIVE,UPI975737095466,-,"4,207.75","14,673.85"
03/02/2025,03/02/2025,CASH DEP/CSH441055920790/BRANCH DEPOSIT,CASH884579116182,-,"5,020.37","19,694.22"
03/02/2025,05/02/2025,UPI DR/UPI658908503386/DMART/MERCHANT PAYMENT,DR306804290722,692.44,-,"19,001.78"
06/02/2025,07/02/2025,IMPS CR/PKT471958086599/FAMILY SUPPORT/SNEHA,IMPS843254313967,-,"10,310.31","29,312.09"
08/02/2025,08/02/2025,UPI DR/P2P972586144673/KARAN/P2P TRANSFER,UPI433755197642,"1,990.80",-,"27,321.29"
10/02/2025,11/02/2025,UPI DR/UPI148341289727/BOOKMYSHOW/MERCHANT PAYMENT,DR938056467414,"1,472.10",-,"25,849.19"
11/02/2025,11/02/2025,UPI DR/UPI498144988738/MEDPLUS/MERCHANT PAYMENT,DR752729063677,"1,314.36",-,"24,534.83"
12/02/2025,13/02/2025,NEFT DR/TRF433159220692/ACCOUNT TRANSFER,NEFT414634506964,"19,891.60",-,"4,643.23"
13/02/2025,15/02/2025,UPI DR/UPI684496935909/OLA/MERCHANT PAYMENT,DR178547669148,"1,660.78",-,"2,982.45"
15/02/2025,16/02/2025,UPI DR/UPI615770615109/JIO/MERCHANT PAYMENT,DR248854794161,643.87,-,"2,338.58"
18/02/2025,18/02/2025,UPI DR/UPI520028846633/SPOTIFY/MERCHANT PAYMENT,DR568970225816,"1,781.23",-,557.35
19/02/2025,21/02/2025,UPI CR/P2P835294129340/VIKAS/P2P RECEIVE,UPI219489455113,-,"1,911.67","2,469.02"
24/02/2025,24/02/2025,NEFT DR/TRF914447537701/ACCOUNT TRANSFER,NEFT127268122376,"2,459.02",-,10.00
24/02/2025,26/02/2025,UPI CR/P2P123424549807/VIKAS/P2P RECEIVE,UPI202168330602,-,"6,844.22","6,854.22"
25/02/2025,27/02/2025,UPI DR/UPI453928483235/ZOMATO/MERCHANT PAYMENT,DR629078123790,312.19,-,"6,542.03"
25/02/2025,27/02/2025,UPI DR/P2P788983304290/ANJALI/P2P TRANSFER,UPI909796485581,"3,633.09",-,"2,908.94"
26/02/2025,27/02/2025,UPI DR/UPI469260161762/SWIGGY/MERCHANT PAYMENT,DR617050211133,178.46,-,"2,730.48"
01/03/2025,01/03/2025,UPI DR/P2P312721045433/SNEHA/P2P TRANSFER,UPI933383998894,898.56,-,"1,831.92"
01/03/2025,03/03/2025,UPI DR/P2P966004743851/MEERA/P2P TRANSFER,UPI911126289893,"1,821.92",-,10.00
02/03/2025,03/03/2025,IMPS CR/PKT357089241384/FAMILY SUPPORT/AMAN,IMPS524125418770,-,"9,073.96","9,083.96"
02/03/2025,04/03/2025,UPI DR/UPI789359542862/AIRTEL/MERCHANT PAYMENT,DR861008022871,497.78,-,"8,586.18"
04/03/2025,04/03/2025,UPI CR/P2P120782731856/ROHAN/P2P RECEIVE,UPI586110958147,-,556.90,"9,143.08"
