file,rows,synthetic_name,handle,opening_balance,closing_balance
synthetic_users/vivek_based_user_01.csv,278,KUNAL NEHA,user01621,35591.87,3318.71
synthetic_users/vivek_based_user_02.csv,391,NEHA SANIKA,user02880,25937.73,105933.02
synthetic_users/vivek_based_user_03.csv,303,ADITYA SANIKA,user03460,43061.55,22658.27
synthetic_users/vivek_based_user_04.csv,257,ADITYA TANVI,user04442,21824.13,45976.38
synthetic_users/vivek_based_user_05.csv,255,RUCHI RUTUJA,user05748,3746.54,8006.13
synthetic_users/vivek_based_user_06.csv,347,HARSH AARAV,user06892,42290.24,50584.62
synthetic_users/vivek_based_user_07.csv,274,SANIKA NEHA,user07639,136510.77,135427.87
synthetic_users/vivek_based_user_08.csv,464,KUNAL PRANAV,user08605,30972.44,79650.41
synthetic_users/vivek_based_user_09.csv,334,SANIKA ADITYA,user09288,4436.80,25712.60
synthetic_users/vivek_based_user_10.csv,369,SANIKA PRANAV,user10413,7995.82,37425.77
synthetic_users/vivek_based_user_11.csv,248,SAKSHI OMKAR,user11484,21670.59,19999.92
synthetic_users/vivek_based_user_12.csv,467,KUNAL VEDANT,user12929,39387.87,72931.93
synthetic_users/vivek_based_user_13.csv,459,NEHA OMKAR,user13891,16564.08,57362.92
synthetic_users/vivek_based_user_14.csv,279,ISHA ADITYA,user14669,134093.36,110545.24
synthetic_users/vivek_based_user_15.csv,477,ADITYA PRANAV,user15688,23658.19,41301.83
synthetic_users/vivek_based_user_16.csv,293,KUNAL HARSH,user16501,40527.94,80837.66
synthetic_users/vivek_based_user_17.csv,247,RUCHI SAKSHI,user17330,19324.39,43578.58
synthetic_users/vivek_based_user_18.csv,449,HARSH YASH,user18402,2958.45,44644.79
synthetic_users/vivek_based_user_19.csv,239,SAKSHI ISHA,user19913,3751.43,11502.29
synthetic_users/vivek_based_user_20.csv,317,HARSH YASH,user20267,40475.53,62261.78
synthetic_users/vivek_based_user_21.csv,410,PRANAV RUCHI,user21361,147961.04,179652.33
synthetic_users/vivek_based_user_22.csv,279,RUCHI SAKSHI,user22797,32288.79,106473.83
synthetic_users/vivek_based_user_23.csv,273,ANIKET YASH,user23638,17676.96,11231.94
synthetic_users/vivek_based_user_24.csv,327,SAKSHI TANVI,user24465,4705.63,6217.35
synthetic_users/vivek_based_user_25.csv,415,OMKAR YASH,user25429,42090.07,83202.98
synthetic_users/vivek_based_user_26.csv,341,OMKAR OMKAR,user26910,14941.58,33387.94
synthetic_users/vivek_based_user_27.csv,288,ISHA KUNAL,user27125,969.48,62032.94
synthetic_users/vivek_based_user_28.csv,338,RUCHI OMKAR,user28161,95250.81,107077.48
synthetic_users/vivek_based_user_29.csv,308,KUNAL SAKSHI,user29642,27022.80,62446.41
synthetic_users/vivek_based_user_30.csv,330,YASH YASH,user30388,26231.57,13257.72
synthetic_users/vivek_based_user_31.csv,460,SANIKA OMKAR,user31165,10390.18,15195.46
synthetic_users/vivek_based_user_32.csv,266,VEDANT ISHA,user32147,21991.73,50951.41
synthetic_users/vivek_based_user_33.csv,457,NEHA HARSH,user33897,17839.93,48247.42
synthetic_users/vivek_based_user_34.csv,323,YASH SAKSHI,user34689,16850.79,33447.53
synthetic_users/vivek_based_user_35.csv,366,SAKSHI SANIKA,user35115,178742.37,173283.51
synthetic_users/vivek_based_user_36.csv,463,ANIKET YASH,user36303,2464.81,42467.71
synthetic_users/vivek_based_user_37.csv,386,ISHA AARAV,user37860,44532.66,43984.16
synthetic_users/vivek_based_user_38.csv,353,OMKAR ADITYA,user38495,30056.60,7.17
synthetic_users/vivek_based_user_39.csv,435,ANIKET KUNAL,user39407,33614.27,90293.66
synthetic_users/vivek_based_user_40.csv,293,SANIKA SAKSHI,user40920,24060.47,45544.69
synthetic_users/vivek_based_user_41.csv,314,PRANAV YASH,user41503,12268.41,21579.43
synthetic_users/vivek_based_user_42.csv,338,PRANAV ISHA,user42642,70424.61,76133.54
synthetic_users/vivek_based_user_43.csv,437,NEHA ADITYA,user43476,7190.23,74885.80
synthetic_users/vivek_based_user_44.csv,473,PRANAV RUTUJA,user44505,33742.97,46419.23
synthetic_users/vivek_based_user_45.csv,346,KUNAL HARSH,user45509,2567.19,72836.91
synthetic_users/vivek_based_user_46.csv,451,TANVI TANVI,user46753,9739.59,90461.03
synthetic_users/vivek_based_user_47.csv,254,YASH PRANAV,user47292,21668.31,25032.35
synthetic_users/vivek_based_user_48.csv,246,HARSH RUCHI,user48670,34741.97,57152.31
synthetic_users/vivek_based_user_49.csv,449,PRANAV YASH,user49477,68901.96,100546.80
synthetic_users/vivek_based_user_50.csv,300,NEHA SAKSHI,user50204,23346.01,34007.22
