Date,Details,Ref No/Cheque No,Debit,Credit,Balance
01/01/2025,DEP TFR UPI/CR/715539964984/MOHIT SU/BKID/ mohitttade/UPI 9107570457449 AT 06039 UDGIR,,,275.54,4712.34
02/01/2025,WDL TFR UPI/DR/318152152967/High Spi/UTIB/9 823096944/Sent 9464355984960 AT 06039 UDGIR,,6.10,,4706.24
04/01/2025,DEP TFR UPI/CR/606804941796/ADITYA K/SBIN/ adityakris/UPI 1120771405231 AT 06039 UDGIR,,,18.96,4725.20
05/01/2025,DEP TFR UPI/CR/449816036641/Bhagyash/BARB/ vaniswami1/UPI 3781565470145 AT 06039 UDGIR,,,178.13,4903.33
06/01/2025,WDL TFR UPI/DR/702196337943/MR SOURA/YESB/q 606711731/Sent 7213438563601 AT 06039 UDGIR,,391.78,,4511.55
07/01/2025,WDL TFR UPI/DR/339693129397/LAZYPAY /AIRP/l azypayrep/Lazy 1586391514928 AT 06039 UDGIR,,391.85,,4119.70
08/01/2025,WDL TFR UPI/DR/944926818688/PRASHANT/FDRL/ bharatpe.9/Pay 7666914470763 AT 06039 UDGIR,,14.56,,4105.14
08/01/2025,WDL TFR UPI/DR/393408249387/MR ADITY/NESF/ 5388901914/UPI 6117307126327 AT 06039 UDGIR,,136.02,,3969.12
08/01/2025,WDL TFR UPI/DR/202325688938/Airtel/YESB/air tel-bil/Airtel 7984937111916 AT 06039 UDGIR,,471.77,,3497.35
10/01/2025,WDL TFR UPI/DR/424244728207/RAJENTERP/YESB/ q039410539/Sen 3276888765421 AT 06039 UDGIR,,32.82,,3464.53
10/01/2025,WDL TFR UPI/DR/274938002684/ZOMATO/HDFC/pay zomato@/Sent u 5477350950643 AT 06039 UDGIR,,326.81,,3137.72
12/01/2025,DEP TFR UPI/CR/872226572917/ADITYA K/SBIN/ adityakris/UPI 0662279644922 AT 06039 UDGIR,,,743.61,3881.33
12/01/2025,WDL TFR UPI/DR/459874139442/ANIL ARJ/YESB/ paytmqrt2m/NA 1697113381868 AT 06039 UDGIR,,265.13,,3616.20
12/01/2025,WDL TFR UPI/DR/868226012636/PRANITA /YESB/q 349450901/Sent 1973867160899 AT 06039 UDGIR,,1197.73,,2418.47
13/01/2025,DEP TFR UPI/CR/482608167739/Aditya A/PPIW/9 356138585/Paid 8914262400742 AT 06039 UDGIR,,,216.39,2634.86
13/01/2025,DEP TFR UPI/CR/377273174187/JAGADISH/UBIN/ jaguswami1/UPI 8343114384739 AT 06039 UDGIR,,,747.65,3382.51
15/01/2025,CEMTEX DEP UPI/DRC/60 8431078466/05032026/3085,,,92.86,3475.37
16/01/2025,DEP TFR UPI/CR/922827871960/ADITYA K/SBIN/ adityakris/UPI 3454238278323 AT 06039 UDGIR,,,270.85,3746.22
17/01/2025,WDL TFR UPI/DR/613238497644/OM SAI P/YESB/p aytmqr6u7/Sent 9431550063121 AT 06039 UDGIR,,27.31,,3718.91
18/01/2025,WDL TFR UPI/DR/526637883108/CHAITNYA/YESB/q 090572218/Sent 9355483814986 AT 06039 UDGIR,,25.11,,3693.80
19/01/2025,WDL TFR UPI/DR/289335415185/SWIGGY/ICIC/upi swiggy@/Sent u 8673640601067 AT 06039 UDGIR,,127.79,,3566.01
20/01/2025,DEP TFR UPI/CR/407182825979/Aditya A/PPIW/9 356138585/Paid 0754475503336 AT 06039 UDGIR,,,32.96,3598.97
21/01/2025,WDL TFR UPI/DR/117106975518/NILKANT /YESB/p aytm.s1er/Sent 9076127412663 AT 06039 UDGIR,,15.16,,3583.81
21/01/2025,WDL TFR UPI/DR/692431031502/MR SOURA/YESB/q 893257851/Sent 0911551600041 AT 06039 UDGIR,,163.25,,3420.56
21/01/2025,DEP TFR UPI/CR/334534825634/Master S/MAHB/ parthchava/UPI 8768015553949 AT 06039 UDGIR,,,363.78,3784.34
23/01/2025,WDL TFR UPI/DR/091205744758/AARADHYA/YESB/q 249889190/Sent 9549078829317 AT 06039 UDGIR,,29.95,,3754.39
24/01/2025,DEP TFR UPI/CR/861600895724/MOHIT SU/BKID/ mohitttade/UPI 9163486584315 AT 06039 UDGIR,,,371.41,4125.80
25/01/2025,WDL TFR UPI/DR/922403248422/HARSHVAR/YESB/q 493750988/Sent 0490480722767 AT 06039 UDGIR,,41.00,,4084.80
27/01/2025,WDL TFR UPI/DR/539631382893/Mrs KANC/YESB/ bharatpe9s/Pay 8941273012040 AT 06039 UDGIR,,184.54,,3900.26
28/01/2025,WDL TFR UPI/DR/724827583525/RAINBOWF/YESB/q 886663516/Sent 9219069185286 AT 06039 UDGIR,,45.12,,3855.14
29/01/2025,WDL TFR UPI/DR/759601983886/Prajakta/PPIW/o mbk.aaep5/Sent 7558018701325 AT 06039 UDGIR,,307.89,,3547.25
30/01/2025,WDL TFR UPI/DR/083502818189/KIAN THE/YESB/q 555710360/Sent 3208074147819 AT 06039 UDGIR,,33.91,,3513.34
30/01/2025,WDL TFR UPI/DR/047645128024/sai trad/YESB/ paytmqraya/NA 9886185901866 AT 06039 UDGIR,,18.15,,3495.19
31/01/2025,WDL TFR UPI/DR/521730069327/RAJENTERP/YESB/ q039410539/Sen 7260129159291 AT 06039 UDGIR,,28.33,,3466.86
01/02/2025,DEP TFR UPI/CR/914459889913/ADITYA K/SBIN/ adityakris/UPI 8930574327641 AT 06039 UDGIR,,,70.88,3537.74
03/02/2025,WDL TFR UPI/DR/543879199940/UTKARSH /YESB/p aytmqr62n/Sent 0688361498243 AT 06039 UDGIR,,24.63,,3513.11
03/02/2025,WDL TFR UPI/DR/799677475599/Master S/MAHB/ 6806971003/UPI 9305347510499 AT 06039 UDGIR,,864.97,,2648.14
